filename,Event Number,events_in_day(day|event),time_rel(sec),time_abs(sec),Filter_low_freq_point,Filter_high_freq_point
xa.s12.00.mhz.1970-01-19HR00_evid00002,1,0 | 0,36863,0,0.8,1.0
xa.s12.00.mhz.1970-01-19HR00_evid00002,2,0 | 1,73384,0,0.8,1.0
xa.s12.00.mhz.1970-03-25HR00_evid00003,3,1 | 0,12829,0,0.8,1.0
xa.s12.00.mhz.1970-03-26HR00_evid00004,4,2 | 0,73083,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,5,3 | 0,908,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,6,3 | 1,4571,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,7,3 | 2,34895,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,8,3 | 3,38385,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,9,3 | 4,40305,0,0.8,1.0
xa.s12.00.mhz.1970-04-25HR00_evid00006,10,3 | 5,81524,0,0.8,1.0
xa.s12.00.mhz.1970-04-26HR00_evid00007,11,4 | 0,28634,0,0.3,0.5
xa.s12.00.mhz.1970-04-26HR00_evid00007,12,4 | 1,52180,0,0.3,0.5
xa.s12.00.mhz.1970-04-26HR00_evid00007,13,4 | 2,68201,0,0.3,0.5
xa.s12.00.mhz.1970-04-26HR00_evid00007,14,4 | 3,70562,0,0.3,0.5
xa.s12.00.mhz.1970-06-15HR00_evid00008,15,5 | 0,68374,0,0.8,1.0
xa.s12.00.mhz.1970-06-26HR00_evid00009,16,6 | 0,72058,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00010,17,7 | 0,18324,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00010,18,7 | 1,23895,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00010,19,7 | 2,40631,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00010,20,7 | 3,42205,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00011,21,8 | 0,18324,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00011,22,8 | 1,23895,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00011,23,8 | 2,40631,0,0.8,1.0
xa.s12.00.mhz.1970-07-20HR00_evid00011,24,8 | 3,42205,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,25,9 | 0,1180,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,26,9 | 1,1710,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,27,9 | 2,10834,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,28,9 | 3,11894,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,29,9 | 4,14151,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,30,9 | 5,15793,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,31,9 | 6,18604,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,32,9 | 7,19746,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,33,9 | 8,20212,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,34,9 | 9,49137,0,0.8,1.0
xa.s12.00.mhz.1970-09-26HR00_evid00013,35,9 | 10,71943,0,0.8,1.0
